"fdc_id","NDB_number","footnote"
"321611","11056",""
"323294","12563"," Other phytosterols = 34.67 mg/100g"
"323505","11233",""
"324317","11296",""
"324653","11937",""
"325036","1032",""
"325198","1042",""
"325430","9236",""
"325524","12537",""
"326196","11236",""
"327046","9148",""
"327357","9191",""
"328637","1009",""
"328841","1015",""
"329370","1029",""
"334536","36602",""
"334628","36412",""
"334720","36408",""
"746762","13468","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746763","13236","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746764","11130","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746766","1036","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746767","1040","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746769","11251","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746770","9181","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746771","9202","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746772","1082","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746773","9412","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746774","36622","Rice was not included in analyses. Ingredients and amount of breading and sauce vary by restaurant. Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the value"
"746776","1085","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746778","1079","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746782","1077","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746784","19335","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"747447","11090","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"747448","9316","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"747997","1124",""
"748967","1123",""
"789890","20081",""
"789951","20581",""
"790018","20481",""
"790085","20080",""
"790146","20083",""
"790214","20061",""
"790508","1001",""
"321358","16158",""
"321360","100147",""
"323121","7022",""
"323604","1171",""
"323697","1172",""
"323793","1173",""
"324860","16098",""
"325287","9123",""
"325871","18069",""
"326698","2046",""
"329490","1133",""
"329596","1126",""
"329716","1137",""
"330137","1256",""
"330415","1285",""
"330458","4047",""
"331897","5671",""
"331960","5746",""
"332282","6931",""
"332397","7028",""
"332791","9533",""
"333374","15033","May contain additives to retain moisture"
"333476","15066","May contain additives to retain moisture"
"334194","15121",""
"335240","18075",""
"746758","23377","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746759","23385","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746760","23362","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746761","23359","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746765","1227","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746768","9094","Mission variety. Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746775","2047","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746777","6164","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746779","7954","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746780","7089","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746783","7919","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746785","5666","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"748236","1125",""
"748278","4582",""
"748323","4518",""
"748366","4044",""
"789828","1145",""
"790991","9040",""
"746781","100173","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"333008","100192",""
"333281","100193",""
"747434","16504",""
"747435","16505",""
"747436","16506",""
"747437","16507",""
"747438","16508",""
"747439","16509",""
"747440","16510",""
"747441","16511",""
"747442","16512",""
"747443","16513",""
"747444","16514",""
"747445","16515",""
"747446","16516",""
"747430","16500",""
"747431","16501",""
"747432","16502",""
"747433","16503",""
"746952","7129",""
"747429","1062",""
"747693","11966",""
"748608","4063",""
"749420","10896",""
"790276","100251",""
"790577","100252",""
"790646","100253",""
"790774","100254",""
